Id,Label,latitude,city,state,longitude,Cluster_No,PageRank,Component ID,Eccentricity,Closeness Centrality,Betweenness Centrality
"Scarborough, Maine","Scarborough, Maine",43.5901974,Scarborough,Maine,-70.3344921,0,2.181027691221408E-4,0,4.0,2.345441067457376,149.41552464078617
"Butler-County, Pennsylvania","Butler-County, Pennsylvania",40.9115243,Butler-County,Pennsylvania,-79.8296743,0,8.743077748877823E-5,0,4.0,2.8117123795404004,0.0
"Paterson, New-Jersey","Paterson, New-Jersey",40.9167654,Paterson,New-Jersey,-74.171811,0,6.553733331515624E-4,0,4.0,2.0151964418087474,95.92723291467289
"Jackson, California","Jackson, California",38.3488023,Jackson,California,-120.7741018,0,1.4257368247776685E-4,0,4.0,2.3699036323202374,0.0
"Fairfield, California","Fairfield, California",38.2493581,Fairfield,California,-122.0399663,0,2.3584098074827875E-4,0,4.0,2.1704966641957006,41.13078021120353
"St-Louis, Missouri","St-Louis, Missouri",38.6270025,St-Louis,Missouri,-90.1994042,0,0.002051597871173152,0,3.0,1.8498888065233505,23856.359630816776
"Trumbull, Connecticut","Trumbull, Connecticut",41.2428563,Trumbull,Connecticut,-73.2006639,0,9.832997982728753E-5,0,4.0,2.520385470719051,0.0
"Volcano-National-Park, Hawaii","Volcano-National-Park, Hawaii",19.5302646,Volcano-National-Park,Hawaii,-155.4644249,0,9.971429106217745E-5,0,4.0,2.346182357301705,8.226456892931964
"Overland-Park, Kansas","Overland-Park, Kansas",38.9822282,Overland-Park,Kansas,-94.6707917,0,2.1883890648392794E-4,0,4.0,2.382134914751668,69.89378467256303
"Shepherd, Texas","Shepherd, Texas",30.4979813,Shepherd,Texas,-94.9966005,0,1.7344046170986695E-4,0,4.0,2.493328391401038,0.0
"Belleair-Beach, Florida","Belleair-Beach, Florida",27.9230767,Belleair-Beach,Florida,-82.8431594,0,1.4411035727405051E-4,0,4.0,2.2312824314306896,0.0
"Banner-Elk, North-Carolina","Banner-Elk, North-Carolina",36.1631817,Banner-Elk,North-Carolina,-81.8715019,0,5.903576584659416E-5,0,5.0,3.097479614529281,0.0
"Wolf-Point, Montana","Wolf-Point, Montana",48.0905736,Wolf-Point,Montana,-105.6405566,0,9.873104499430387E-5,0,4.0,2.432542624166049,0.0
"Walland, Tennessee","Walland, Tennessee",35.7281419,Walland,Tennessee,-83.8132305,0,8.198570734002489E-5,0,4.0,2.535211267605634,0.0
"Lake-Tahoe, Nevada","Lake-Tahoe, Nevada",39.0968493,Lake-Tahoe,Nevada,-120.0323507,0,5.158084214975859E-4,0,4.0,2.0737583395107486,1474.0291486956824
"Concord, New-Hampshire","Concord, New-Hampshire",43.2081366,Concord,New-Hampshire,-71.5375718,0,8.605000416963911E-5,0,4.0,2.5652335063009635,0.0
"Beavercreek, Ohio","Beavercreek, Ohio",39.7092262,Beavercreek,Ohio,-84.0632685,0,1.5320838796286515E-4,0,4.0,2.511119347664937,0.0
"Bardstown, Kentucky","Bardstown, Kentucky",37.8092279,Bardstown,Kentucky,-85.4669025,0,3.090568753276858E-4,0,4.0,2.1927353595255745,623.5131112208636
"Bartlett, New-Hampshire","Bartlett, New-Hampshire",44.0769444,Bartlett,New-Hampshire,-71.2211111,0,6.398118205896036E-5,0,5.0,3.109340252038547,0.0
"Battle-Mountain, Nevada","Battle-Mountain, Nevada",40.6421334,Battle-Mountain,Nevada,-116.9342671,0,8.685332709729932E-5,0,4.0,2.6782802075611563,0.0
"Mill-Valley, California","Mill-Valley, California",37.9060368,Mill-Valley,California,-122.5449763,0,1.2568393855466185E-4,0,4.0,2.2802075611564123,30.372202394568834
"Cottonwood, Arizona","Cottonwood, Arizona",34.7391876,Cottonwood,Arizona,-112.0098791,0,4.942213358741544E-4,0,4.0,2.1293550778354335,1421.319407355207
"Mesa-Verde-National-Park, Colorado","Mesa-Verde-National-Park, Colorado",37.2308751,Mesa-Verde-National-Park,Colorado,-108.4618378,0,0.002009805346002807,0,3.0,1.8283914010378057,10900.534412329762
